n,d,s,seed,case,sketch_err_logits_hs,sketch_err_output_hs,fp_err_logits_hs,fp_err_output_hs,total_err_logits_hs,total_err_output_hs,ref_logits_hs,ref_output_hs,runtime_ms
64,32,8,0,full_fp32_sk8,119.92464272628136,14.652477893957734,1.661380068599164e-05,4.911965836145029e-06,119.9246451863573,14.65247821737303,63.87173941517065,9.457262606910298,0.8666310022817925
64,32,16,0,full_fp32_sk16,92.35684920524577,13.270264207766484,1.7726211976808857e-05,4.914696901173464e-06,92.356850385666,13.270264446918942,63.87173941517065,9.457262606910298,0.21442699653562158
64,32,24,0,full_fp32_sk24,69.65250453304137,9.104353545979704,1.3956724271861366e-05,4.1814467305519786e-06,69.65250551434104,9.1043541718231,63.87173941517065,9.457262606910298,0.24559400480939075
64,32,32,0,full_fp32_sk32,70.78445917532757,9.067375439285328,1.3908348942638498e-05,3.718990237745508e-06,70.78446021112804,9.067376025864021,63.87173941517065,9.457262606910298,0.21625200315611437
64,32,8,0,full_fp16_sk8,119.92464272628136,14.652477893957734,0.07494250269815236,0.018948402188828553,119.9231635515358,14.65261803395966,63.87173941517065,9.457262606910298,0.5711410049116239
64,32,16,0,full_fp16_sk16,92.35684920524577,13.270264207766484,0.061160746374013655,0.01666858544118861,92.34929342353237,13.268150774730607,63.87173941517065,9.457262606910298,0.5805090040666983
64,32,24,0,full_fp16_sk24,69.65250453304137,9.104353545979704,0.05092556196956714,0.0131432108955205,69.65208503303434,9.102788854472301,63.87173941517065,9.457262606910298,0.585524998314213
64,32,32,0,full_fp16_sk32,70.78445917532757,9.067375439285328,0.04967970423854666,0.01225843521109146,70.78723052406585,9.067454525625074,63.87173941517065,9.457262606910298,1.012036002066452
64,32,8,0,mixed_fp16_sk8,119.92464272628136,14.652477893957734,0.06358245399193238,0.01290504973669685,119.92256970945256,14.65100766791552,63.87173941517065,9.457262606910298,0.4067940026288852
64,32,16,0,mixed_fp16_sk16,92.35684920524577,13.270264207766484,0.05145590132923992,0.010244112482656446,92.34834651350252,13.268082743805598,63.87173941517065,9.457262606910298,0.3472500029602088
64,32,24,0,mixed_fp16_sk24,69.65250453304137,9.104353545979704,0.04300564810324988,0.008008105298171917,69.65262401347968,9.103558904017948,63.87173941517065,9.457262606910298,0.6231439983821474
64,32,32,0,mixed_fp16_sk32,70.78445917532757,9.067375439285328,0.04132405833401347,0.007373121313566697,70.78555657083567,9.066725014273766,63.87173941517065,9.457262606910298,4.434533999301493
64,32,8,0,fp8_store_sk8,119.92464272628136,14.652477893957734,7.9529174239981275,1.548637155949176,120.80668270906858,14.771643770132206,63.87173941517065,9.457262606910298,1.4498419986921363
